,Remaining Day,Minimum,-2.0 S.D.,-1.5 S.D.,-1.0 S.D.,-0.5 S.D.,Median,Mean,+0.5 S.D.,+1.0 S.D.,+1.5 S.D.,+2.0 S.D.,Maximum
32,93,5.065554231227652,2.8451408378806367,6.049644720499328,9.25414860311802,12.458652485736712,15.282811747185843,15.663156368355404,18.867660250974097,22.072164133592786,25.27666801621148,28.48117189883017,42.918454935622314
33,92,5.279503105590062,2.389494051952685,5.681582602993558,8.973671154034431,12.265759705075304,15.133107361846365,15.557848256116177,18.84993680715705,22.142025358197923,25.434113909238796,28.72620246027967,43.859649122807014
34,91,5.473277527366387,3.2128667972919676,6.335251973880213,9.457637150468457,12.580022327056703,15.600159745635796,15.702407503644949,18.824792680233195,21.94717785682144,25.069563033409686,28.191948209997932,42.73504273504274
35,90,5.697050938337802,3.00893675964177,6.202500281747273,9.396063803852778,12.589627325958283,15.719432064658678,15.783190848063786,18.97675437016929,22.170317892274795,25.363881414380298,28.5574449364858,43.290043290043286
36,89,5.948215535339399,3.2807682069417066,6.449138467524444,9.617508728107179,12.785878988689916,15.530873493975902,15.954249249272653,19.12261950985539,22.290989770438127,25.459360031020864,28.627730291603598,43.66812227074236
37,88,6.04699378023497,3.2419708478375284,6.452591729678794,9.66321261152006,12.873833493361325,15.784017404762947,16.08445437520259,19.295075257043855,22.50569613888512,25.716317020726386,28.92693790256765,44.44444444444444
38,87,6.232193732193732,3.7902266611536444,6.911115394206,10.032004127258357,13.152892860310713,15.794838786129036,16.27378159336307,19.394670326415426,22.51555905946778,25.636447792520137,28.75733652557249,43.47826086956522
39,86,6.491097922848664,3.3266391704609397,6.585484065100928,9.844328959740917,13.103173854380906,16.29255017932423,16.362018749020894,19.620863643660883,22.87970853830087,26.13855343294086,29.39739832758085,45.04504504504504
40,85,7.130872483221476,3.5033012999722395,6.752691869500527,10.002082439028815,13.251473008557102,15.612050195490834,16.50086357808539,19.750254147613678,22.999644717141965,26.249035286670253,29.49842585619854,44.44444444444444
41,84,6.851996867658575,3.3788440355828904,6.64136795912944,9.903891882675989,13.166415806222538,15.424382716049383,16.428939729769088,19.691463653315637,22.953987576862186,26.216511500408735,29.479035423955285,45.662100456621005
42,83,6.9944044764188655,4.136715445528035,7.15532572811505,10.173936010702064,13.19254629328908,15.463807785888077,16.211156575876096,19.229766858463112,22.248377141050128,25.26698742363714,28.28559770622416,37.3134328358209
43,82,7.293354943273907,5.479327564637078,8.114236003757426,10.749144442877776,13.384052881998127,15.382723337268793,16.018961321118475,18.653869760238823,21.28877819935917,23.923686638479523,26.558595077599872,30.092592592592588
44,81,7.387247278382582,5.478127102081459,8.179161152523411,10.880195202965364,13.581229253407317,16.07673004877359,16.28226330384927,18.983297354291224,21.684331404733175,24.385365455175126,27.08639950561708,30.092592592592588
45,80,7.341269841269841,4.8285795657091395,7.598774734079473,10.368969902449807,13.139165070820141,15.597376675220987,15.909360239190475,18.67955540756081,21.44975057593114,24.219945744301477,26.990140912671812,31.655844155844154
46,79,7.299270072992701,4.156010599312383,7.241524431815195,10.32703826431801,13.412552096820821,15.802807111674756,16.498065929323634,19.583579761826446,22.669093594329258,25.754607426832074,28.840121259334886,33.123028391167196
47,78,7.465698143664246,4.480748465073667,7.528084580922982,10.575420696772298,13.622756812621613,15.945481058841569,16.67009292847093,19.717429044320244,22.76476516016956,25.812101276018875,28.85943739186819,33.85416666666667
48,77,8.064516129032258,4.843691319892839,7.85134521168392,10.858999103475,13.866652995266081,15.95855694692904,16.874306887057163,19.881960778848242,22.889614670639325,25.897268562430405,28.904922454221484,33.50515463917526
49,76,7.64006791171477,4.0724737468966055,7.326894314583562,10.581314882270519,13.835735449957475,16.18303409384592,17.090156017644432,20.34457658533139,23.598997153018345,26.853417720705302,30.10783828839226,35.83617747440273
50,75,7.58889852558543,3.2020776298969427,6.699902563969529,10.197727498042113,13.695552432114699,15.948567561470787,17.193377366187285,20.69120230025987,24.189027234332457,27.68685216840504,31.18467710247763,39.0
51,74,7.6821773485513605,3.656304628433972,7.006283827977644,10.356263027521315,13.706242227064987,15.815169064502154,17.05622142660866,20.40620062615233,23.756179825696,27.106159025239673,30.456138224783345,39.47368421052631
52,73,5.7491289198606275,3.673647572557373,7.07214013467029,10.470632696783206,13.869125258896123,16.431656950200185,17.26761782100904,20.666110383121957,24.064602945234874,27.463095507347788,30.86158806946071,38.69047619047619
53,72,4.263786242183058,3.2749965811059436,6.760020476530686,10.24504437195543,13.730068267380172,16.416278619889184,17.215092162804915,20.700116058229657,24.1851399536544,27.670163849079145,31.155187744503884,39.31451612903226
54,71,4.263786242183058,3.289189846442241,6.692877209162871,10.096564571883501,13.500251934604131,16.103320567036356,16.90393929732476,20.307626660045393,23.71131402276602,27.11500138548665,30.518688748207282,38.314176245210724
55,70,3.5414480587618042,3.094386627227202,6.551250335094021,10.008114042960841,13.46497775082766,16.27861786319955,16.92184145869448,20.3787051665613,23.83556887442812,27.29243258229494,30.74929629016176,39.0625
56,69,3.8681948424068766,3.425185168022166,6.890545920545158,10.355906673068151,13.821267425591143,15.645833333333332,17.286628178114135,20.75198893063713,24.21734968316012,27.682710435683113,31.148071188206103,40.65040650406504
57,68,4.613807245386193,3.175906794725755,6.687904254961037,10.199901715196317,13.711899175431597,16.12444992504473,17.22389663566688,20.73589409590216,24.24789155613744,27.75988901637272,31.271886476608003,40.98360655737705
58,67,5.302435192458759,2.964274181508145,6.514636208872492,10.06499823623684,13.61536026360119,15.983193277310924,17.165722290965537,20.716084318329884,24.266446345694234,27.81680837305858,31.36717040042293,44.64285714285714
59,66,4.098360655737705,2.3350301192422194,6.121561274919316,9.90809243059641,13.694623586273504,16.362232289950576,17.4811547419506,21.267685897627697,25.05421705330479,28.840748208981886,32.62727936465898,46.948356807511736
60,65,3.4246575342465753,1.9575984867482479,5.871018156298216,9.784437825848187,13.697857495398155,16.79460490935901,17.611277164948124,21.524696834498094,25.43811650404806,29.35153617359803,33.264955843148,48.78048780487805
61,64,4.710632570659489,1.809417049638288,5.88324288402314,9.957068718407992,14.030894552792844,17.278837615212666,18.104720387177696,22.17854622156255,26.2523720559474,30.326197890332253,34.4000237247171,50.76142131979696
62,63,4.67741935483871,2.132547355719531,6.164501281622979,10.196455207526425,14.22840913342987,17.200769767088854,18.26036305933332,22.292316985236766,26.32427091114021,30.35622483704366,34.388178762947106,50.76142131979696
63,62,4.67741935483871,2.6305492593052033,6.592249077780135,10.553948896255068,14.51564871473,17.763296280115853,18.477348533204932,22.439048351679865,26.400748170154795,30.36244798862973,34.32414780710466,49.26108374384236
